image,text
data/raw/synthetic/urdu_1.png,پاکستان زندہ باد
data/raw/synthetic/urdu_2.png,آج کا موسم خوشگوار ہے
data/raw/synthetic/urdu_3.png,تعلیم ہر انسان کا حق ہے
data/raw/synthetic/urdu_4.png,کراچی پاکستان کا سب سے بڑا شہر ہے
data/raw/synthetic/urdu_5.png,محنت کامیابی کی کنجی ہے
data/raw/synthetic/urdu_6.png,صحت سب سے بڑی نعمت ہے
data/raw/synthetic/urdu_7.png,وقت کی قدر کرنی چاہیے
data/raw/synthetic/urdu_8.png,لاہور پاکستان کا تاریخی شہر ہے
data/raw/synthetic/urdu_9.png,کتاب علم کا خزانہ ہے
data/raw/synthetic/urdu_10.png,والدین کی عزت کرنی چاہیے
data/raw/synthetic/urdu_11.png,اردو ہماری قومی زبان ہے
data/raw/synthetic/urdu_12.png,پاکستان کا دارالحکومت اسلام آباد ہے
data/raw/synthetic/urdu_13.png,محنتی انسان کبھی ناکام نہیں ہوتا
data/raw/synthetic/urdu_14.png,دوستی ایک قیمتی رشتہ ہے
data/raw/synthetic/urdu_15.png,صبر کا پھل میٹھا ہوتا ہے
data/raw/synthetic/urdu_16.png,علم بغیر عمل کے بیکار ہے
data/raw/synthetic/urdu_17.png,پاکستان کا قومی پھل آم ہے
data/raw/synthetic/urdu_18.png,ایمانداری بہترین پالیسی ہے
data/raw/synthetic/urdu_19.png,ورزش صحت کے لیے ضروری ہے
data/raw/synthetic/urdu_20.png,ہر انسان کو محنت کرنی چاہیے
data/raw/newspaper/Untitled7.png,TODO
data/raw/newspaper/Untitled28.png,TODO
data/raw/newspaper/Untitled2.png,TODO
data/raw/newspaper/Untitled16.png,TODO
data/raw/newspaper/Untitled13.png,TODO
data/raw/newspaper/Untitled10.png,TODO
data/raw/newspaper/Untitled27.png,TODO
data/raw/newspaper/Untitled26.png,TODO
data/raw/newspaper/Untitled22.png,TODO
data/raw/newspaper/Untitled6.png,TODO
data/raw/newspaper/Untitled18.png,TODO
data/raw/newspaper/Untitled.png,TODO
data/raw/newspaper/Untitled1.png,TODO
data/raw/newspaper/Untitled8.png,TODO
data/raw/newspaper/Untitled9.png,TODO
data/raw/newspaper/Untitled17.png,TODO
data/raw/newspaper/Untitled23.png,TODO
data/raw/newspaper/Untitled15.png,TODO
data/raw/newspaper/Untitled4.png,TODO
data/raw/newspaper/Untitled11.png,TODO
data/raw/newspaper/Untitled12.png,TODO
data/raw/newspaper/Untitled14.png,TODO
data/raw/newspaper/Untitled19.png,TODO
data/raw/newspaper/Untitled3.png,TODO
data/raw/newspaper/Untitled20.png,TODO
data/raw/newspaper/Untitled5.png,TODO
data/raw/newspaper/Untitled21.png,TODO
data/raw/newspaper/Untitled25.png,TODO
data/raw/books/Untitled7.png,TODO
data/raw/books/Untitled2.png,TODO
data/raw/books/Untitled10.png,TODO
data/raw/books/Untitled6.png,TODO
data/raw/books/Untitled.png,TODO
data/raw/books/Untitled1.png,TODO
data/raw/books/Untitled8.png,TODO
data/raw/books/Untitled9.png,TODO
data/raw/books/Untitled4.png,TODO
data/raw/books/Untitled3.png,TODO
data/raw/books/Untitled5.png,TODO
data/raw/signboards/Untitled2.png,TODO
data/raw/signboards/Untitled.png,TODO
data/raw/signboards/Untitled1.png,TODO
data/raw/signboards/Untitled4.png,TODO
data/raw/signboards/Untitled3.png,TODO
data/raw/signboards/Untitled5.png,TODO
